,Date,Open*,High,Low,Close**,Volume,Market Cap
156,"Apr 02, 2019",3.54,3.77,3.45,3.71,7341599,58607162
157,"Apr 01, 2019",3.59,3.66,3.51,3.53,4089433,55790174
158,"Mar 31, 2019",3.46,3.63,3.44,3.59,4475686,56663763
159,"Mar 30, 2019",3.53,3.64,3.39,3.46,4006854,54699021
160,"Mar 29, 2019",3.65,3.66,3.49,3.54,3606183,55952541
161,"Mar 28, 2019",3.53,3.67,3.49,3.65,3709702,57619719
162,"Mar 27, 2019",3.33,3.63,3.3,3.53,6829529,55775895
163,"Mar 26, 2019",3.16,3.35,3.14,3.31,3524003,52287226
164,"Mar 25, 2019",3.23,3.3,3.12,3.16,2673460,49960854
165,"Mar 24, 2019",3.25,3.26,3.19,3.22,1385419,50879385
166,"Mar 23, 2019",3.26,3.29,3.24,3.25,1812922,51364896
167,"Mar 22, 2019",3.23,3.28,3.2,3.26,2252213,51544272
168,"Mar 21, 2019",3.41,3.41,3.14,3.23,3417298,51014393
169,"Mar 20, 2019",3.37,3.42,3.31,3.41,2397164,53809679
170,"Mar 19, 2019",3.28,3.47,3.27,3.37,7008067,53243841
171,"Mar 18, 2019",3.39,3.64,3.24,3.28,5411997,51800383
172,"Mar 17, 2019",3.28,3.51,3.23,3.4,3025095,53651659
173,"Mar 16, 2019",3.37,3.37,3.23,3.28,3791634,51791581
174,"Mar 15, 2019",3.0,3.92,2.97,3.37,31110240,53267103
175,"Mar 14, 2019",2.98,3.03,2.91,3.01,3482785,47515031
176,"Mar 13, 2019",2.94,3.11,2.92,2.97,2940196,46924171
177,"Mar 12, 2019",2.85,3.16,2.73,2.94,7121685,46503918
178,"Mar 11, 2019",2.8,3.38,2.76,2.86,11649300,45103429
179,"Mar 10, 2019",2.81,2.83,2.75,2.8,1732462,44193960
180,"Mar 09, 2019",2.63,2.88,2.63,2.81,2792170,44414628
181,"Mar 08, 2019",2.61,2.7,2.61,2.64,1574827,41624601
182,"Mar 07, 2019",2.63,2.66,2.57,2.61,1398056,41195912
183,"Mar 06, 2019",2.67,2.71,2.62,2.63,1342976,41473930
184,"Mar 05, 2019",2.48,2.69,2.47,2.67,1766290,42098831
185,"Mar 04, 2019",2.57,2.6,2.42,2.47,1111477,39052307
186,"Mar 03, 2019",2.58,2.6,2.57,2.58,764868,40763774
187,"Mar 02, 2019",2.63,2.64,2.55,2.58,1040635,40734522
188,"Mar 01, 2019",2.64,2.67,2.63,2.63,905095,41515998
189,"Feb 28, 2019",2.74,2.76,2.6,2.64,1776005,41686750
190,"Feb 27, 2019",2.81,2.86,2.69,2.74,2342800,43270090
191,"Feb 26, 2019",2.73,2.83,2.68,2.81,2504513,44445717
192,"Feb 25, 2019",2.74,2.78,2.71,2.74,1749850,43275153
193,"Feb 24, 2019",3.03,3.07,2.64,2.75,8969729,43498787
194,"Feb 23, 2019",3.03,3.06,2.91,3.02,3687793,47742580
195,"Feb 22, 2019",3.1,3.13,2.97,3.03,4372751,47907763
196,"Feb 21, 2019",3.2,3.54,3.04,3.1,12262692,48992264
197,"Feb 20, 2019",2.79,3.31,2.75,3.19,8791092,50389658
198,"Feb 19, 2019",2.85,2.91,2.71,2.79,4365167,44057827
199,"Feb 18, 2019",2.62,3.28,2.61,2.86,37607814,45110230
200,"Feb 17, 2019",2.65,2.65,2.53,2.62,12234693,41387291
201,"Feb 16, 2019",2.78,3.01,2.54,2.64,70973150,41693731
202,"Feb 15, 2019",2.08,2.78,2.08,2.6,130879527,41114832
203,"Feb 14, 2019",2.06,2.1,2.05,2.08,3493668,32843695
204,"Feb 13, 2019",2.11,2.12,2.05,2.07,4092555,32628283
205,"Feb 12, 2019",2.12,2.13,2.09,2.11,3162454,33394694
