,#,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d,Unnamed: 10
114,115,POA POA Network,POA,"$156,595,195",$0.766511,"204,296,109 *","$24,172,494",-0.33%,7.52%,32.77%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
115,116,ZEN Horizen,ZEN,"$153,699,098",$41.11,3738300,"$1,007,809",-2.33%,-2.71%,20.04%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
116,117,PART Particl,PART,"$151,659,379",$16.94,"8,951,446 *","$2,446,724",-0.86%,-4.63%,6.24%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
117,118,SKY Skycoin,SKY,"$148,334,204",$18.41,"8,058,014 *","$1,627,289",-0.46%,-3.91%,-6.52%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
118,119,BOS BOScoin,BOS,"$148,187,465",$0.338139,"438,244,500 *","$1,540,991",0.13%,-2.50%,19.99%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
119,120,CVC Civic,CVC,"$145,704,091",$0.425165,"342,699,966 *","$7,694,060",-0.21%,4.74%,2.84%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
120,121,MAN Matrix AI Net...,MAN,"$145,468,470",$0.969790,"150,000,000 *","$1,278,981",-0.22%,-1.11%,10.16%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
121,122,NXS Nexus,NXS,"$139,213,912",$2.44,56987686,"$2,512,521",-1.87%,-4.16%,7.43%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
122,123,BTCD BitcoinDark,BTCD,"$138,783,805",$107.68,1288862,"$335,022",-0.46%,-0.18%,47.88%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
123,124,EMC Emercoin,EMC,"$134,215,524",$3.22,41672348,"$1,056,653",-0.71%,-4.09%,-7.30%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
